#;System;Mc;Mtot;M1;M2;Pspin;Porb;e;tmerge;Ref;Year;Note
1;PSR B1913+16;1,2312;2,828;1,44;1,389;59;0,323;0,617;301;a;1975;NA
2;PSR B2127+11C;1,1805;2,713;1,358;1,354;30,5;0,335;0,681;217;b;1990;*
3;PSR B1534+12;1,1661;2,678;1,333;1,346;37,9;0,421;0,274;2739;c-d;1991;NA
4;PSR J1518+4904;nan;2,718;nan;nan;40,9;8,634;0,249;inf;e-f;1997;NA
5;PSR J1811-1736;nan;2,57;nan;nan;104,2;18,779;0,828;inf;g-h;2001;NA
6;PSR J0737-3039;1,1253;2,587;1,338;1,249;22,7;0,102;0,088;86;i-j;2003;NA
7;PSR J1829+2456;nan;2,59;nan;nan;41;1,176;0,139;inf;k;2004;NA
8;PSR J1756-2251;1,1178;2,571;1,341;1,23;28,5;0,32;0,181;1663;l;2005;NA
9;PSR J1930-1852;nan;2,59;nan;nan;185,5;45,06;0,399;inf;m;2015;NA
10;PSR J0453+1559;1,1754;2,734;1,559;1,174;45,8;4,072;0,113;inf;n;2015;?
11;PSR J1913+1102;1,2468;2,8887;1,62;1,27;27,28;0,206;0,09;470;o-p;2016;NA
12;GW170817;1,188;2,73-3,29;1,36-2,26;0,86-1,36;nan;nan;nan;nan;q;2017;†
13;PSR J1411+2551;nan;2,538;nan;nan;62,4;2,616;0,1699;inf;r;2017;NA
14;PSR J1757-1854;1,1893;2,733;1,338;1,395;21,5;0,183;0,606;76;s;2018;NA
15;PSR J1946+2052;nan;2,5;nan;nan;17;0,078;0,06;46;t;2018;NA
16;PSR J0509+3801;1,2174;2,81;1,34;1,46;76,5;0,38;0,586;580;u;2018;NA
17;GW190425;1,44;3,4;1,60-2,52;1,12-1,69;nan;nan;nan;nan;v;2020;†
18;PSR J1759+5036;nan;2,62;nan;nan;176;2,04;0,3;inf;w;2021;?
19;PSR J1753-2240;nan;nan;nan;nan;95,1;13,638;0,304;inf;x;2008;?